# Time,Training Loss
0.000000000000000000e+00,3.406280517578125000e+00
5.000000000000000000e+01,3.963015317916870117e+00
1.000000000000000000e+02,3.338387012481689453e+00
1.500000000000000000e+02,3.289383888244628906e+00
2.000000000000000000e+02,2.699447870254516602e+00
2.500000000000000000e+02,2.832900524139404297e+00
3.000000000000000000e+02,3.778557300567626953e+00
3.500000000000000000e+02,2.769363164901733398e+00
4.000000000000000000e+02,2.674852132797241211e+00
4.500000000000000000e+02,2.437291622161865234e+00
5.000000000000000000e+02,2.132583141326904297e+00
5.500000000000000000e+02,2.232298851013183594e+00
6.000000000000000000e+02,2.014246463775634766e+00
6.500000000000000000e+02,2.399690866470336914e+00
7.000000000000000000e+02,3.344916343688964844e+00
7.500000000000000000e+02,2.738582849502563477e+00
8.000000000000000000e+02,2.283123970031738281e+00
8.500000000000000000e+02,2.115646839141845703e+00
9.000000000000000000e+02,3.044259786605834961e+00
9.500000000000000000e+02,2.930945873260498047e+00
1.000000000000000000e+03,3.045000553131103516e+00
