# Time,Training Loss
0.000000000000000000e+00,3.669048309326171875e+00
5.000000000000000000e+03,3.846695899963378906e+00
1.000000000000000000e+04,2.637543201446533203e+00
1.500000000000000000e+04,3.195838451385498047e+00
2.000000000000000000e+04,2.578928947448730469e+00
2.500000000000000000e+04,3.841473102569580078e+00
3.000000000000000000e+04,2.364215850830078125e+00
3.500000000000000000e+04,1.499478459358215332e+00
4.000000000000000000e+04,3.589607238769531250e+00
4.500000000000000000e+04,3.146495819091796875e+00
5.000000000000000000e+04,3.547983884811401367e+00
5.500000000000000000e+04,3.184213876724243164e+00
6.000000000000000000e+04,2.564901828765869141e+00
6.500000000000000000e+04,3.176237106323242188e+00
7.000000000000000000e+04,2.554220914840698242e+00
7.500000000000000000e+04,2.370702028274536133e+00
8.000000000000000000e+04,3.101304054260253906e+00
8.500000000000000000e+04,3.124718189239501953e+00
9.000000000000000000e+04,2.684766769409179688e+00
9.500000000000000000e+04,1.978602766990661621e+00
1.000000000000000000e+05,2.520238876342773438e+00
1.050000000000000000e+05,2.277713298797607422e+00
1.100000000000000000e+05,2.395017147064208984e+00
1.150000000000000000e+05,2.410186052322387695e+00
1.200000000000000000e+05,2.848392248153686523e+00
1.250000000000000000e+05,3.547772884368896484e+00
1.300000000000000000e+05,2.441263198852539062e+00
1.350000000000000000e+05,2.162863492965698242e+00
1.400000000000000000e+05,3.260639429092407227e+00
1.450000000000000000e+05,2.171289205551147461e+00
1.500000000000000000e+05,3.201108455657958984e+00
1.550000000000000000e+05,2.804841518402099609e+00
1.600000000000000000e+05,2.143229484558105469e+00
1.650000000000000000e+05,2.063739776611328125e+00
1.700000000000000000e+05,1.792803406715393066e+00
1.750000000000000000e+05,3.705778121948242188e+00
1.800000000000000000e+05,3.305994033813476562e+00
1.850000000000000000e+05,3.256256103515625000e+00
1.900000000000000000e+05,2.208146572113037109e+00
1.950000000000000000e+05,3.756795406341552734e+00
2.000000000000000000e+05,2.357110261917114258e+00
2.050000000000000000e+05,2.448878288269042969e+00
2.100000000000000000e+05,1.949583768844604492e+00
2.150000000000000000e+05,2.809893846511840820e+00
2.200000000000000000e+05,3.448466777801513672e+00
2.250000000000000000e+05,2.497627258300781250e+00
2.300000000000000000e+05,2.382491588592529297e+00
2.350000000000000000e+05,1.773185372352600098e+00
2.400000000000000000e+05,2.137832164764404297e+00
2.450000000000000000e+05,3.857790708541870117e+00
2.500000000000000000e+05,3.096883773803710938e+00
2.550000000000000000e+05,2.669140100479125977e+00
2.600000000000000000e+05,3.419929504394531250e+00
2.650000000000000000e+05,4.074400901794433594e+00
2.700000000000000000e+05,3.967565059661865234e+00
2.750000000000000000e+05,2.894088506698608398e+00
2.800000000000000000e+05,3.568433284759521484e+00
2.850000000000000000e+05,3.243299484252929688e+00
2.900000000000000000e+05,1.993809938430786133e+00
2.950000000000000000e+05,2.508228302001953125e+00
3.000000000000000000e+05,2.157689809799194336e+00
3.050000000000000000e+05,3.954452037811279297e+00
3.100000000000000000e+05,2.251275062561035156e+00
3.150000000000000000e+05,2.615291833877563477e+00
3.200000000000000000e+05,1.418163299560546875e+00
3.250000000000000000e+05,2.202674150466918945e+00
3.300000000000000000e+05,3.675638675689697266e+00
3.350000000000000000e+05,3.562393665313720703e+00
3.400000000000000000e+05,2.027753353118896484e+00
3.450000000000000000e+05,3.959333419799804688e+00
3.500000000000000000e+05,1.870655655860900879e+00
3.550000000000000000e+05,2.636818885803222656e+00
3.600000000000000000e+05,2.010569572448730469e+00
3.650000000000000000e+05,2.392975330352783203e+00
3.700000000000000000e+05,1.623875498771667480e+00
3.750000000000000000e+05,3.412861347198486328e+00
3.800000000000000000e+05,2.812279224395751953e+00
3.850000000000000000e+05,1.670363664627075195e+00
3.900000000000000000e+05,3.812903404235839844e+00
3.950000000000000000e+05,3.002240180969238281e+00
4.000000000000000000e+05,2.609833955764770508e+00
4.050000000000000000e+05,1.775527119636535645e+00
4.100000000000000000e+05,2.393263816833496094e+00
4.150000000000000000e+05,2.700149774551391602e+00
4.200000000000000000e+05,1.686865806579589844e+00
4.250000000000000000e+05,2.703433513641357422e+00
4.300000000000000000e+05,2.824788570404052734e+00
4.350000000000000000e+05,2.035485744476318359e+00
4.400000000000000000e+05,2.774833202362060547e+00
4.450000000000000000e+05,1.750191688537597656e+00
4.500000000000000000e+05,2.351630687713623047e+00
4.550000000000000000e+05,2.407003879547119141e+00
4.600000000000000000e+05,3.656558990478515625e+00
4.650000000000000000e+05,1.797046184539794922e+00
4.700000000000000000e+05,2.399317264556884766e+00
4.750000000000000000e+05,1.540904402732849121e+00
4.800000000000000000e+05,3.100744724273681641e+00
4.850000000000000000e+05,1.892663478851318359e+00
4.900000000000000000e+05,2.436469078063964844e+00
4.950000000000000000e+05,1.370288729667663574e+00
5.000000000000000000e+05,2.202304124832153320e+00
5.050000000000000000e+05,2.204174995422363281e+00
5.100000000000000000e+05,2.237512588500976562e+00
5.150000000000000000e+05,1.988968253135681152e+00
5.200000000000000000e+05,3.367706775665283203e+00
5.250000000000000000e+05,2.598189592361450195e+00
5.300000000000000000e+05,2.347937107086181641e+00
5.350000000000000000e+05,3.339529037475585938e+00
5.400000000000000000e+05,3.010093688964843750e+00
5.450000000000000000e+05,2.749083042144775391e+00
5.500000000000000000e+05,1.993240833282470703e+00
5.550000000000000000e+05,2.855214118957519531e+00
5.600000000000000000e+05,1.847747683525085449e+00
5.650000000000000000e+05,3.768117666244506836e+00
5.700000000000000000e+05,1.942189574241638184e+00
5.750000000000000000e+05,2.152673721313476562e+00
5.800000000000000000e+05,1.843837261199951172e+00
5.850000000000000000e+05,1.472208261489868164e+00
5.900000000000000000e+05,1.439042329788208008e+00
5.950000000000000000e+05,2.875844001770019531e+00
6.000000000000000000e+05,2.950764417648315430e+00
6.050000000000000000e+05,2.867404222488403320e+00
6.100000000000000000e+05,4.333057880401611328e+00
6.150000000000000000e+05,2.851018667221069336e+00
6.200000000000000000e+05,2.249722003936767578e+00
6.250000000000000000e+05,2.383881092071533203e+00
6.300000000000000000e+05,3.351948022842407227e+00
6.350000000000000000e+05,2.496024131774902344e+00
6.400000000000000000e+05,3.309611558914184570e+00
6.450000000000000000e+05,1.570224523544311523e+00
6.500000000000000000e+05,2.489626884460449219e+00
